filename,filepath,url,content_length,word_count,line_count,content_hash,url_depth,url_section
page_2_https_www.natwest.com_premier-banking_insights_money-matters_investment-event-replay.html.md,natwest_markdown_cleaning/page_2_https_www.natwest.com_premier-banking_insights_money-matters_investment-event-replay.html.md,https://www.natwest.com/premier-banking/insights/money-matters/investment-event-replay.html,10667,1136,133,32060606503b05a55343ad29f8c20c38,4,premier-banking
page_5_https_www.natwest.com_support-centre_bank-accounts-and-supporting-information_general_why-is-the-isa-i-am-trying-to-credit-currently-unable-to-accept-deposits.html.md,natwest_markdown_cleaning/page_5_https_www.natwest.com_support-centre_bank-accounts-and-supporting-information_general_why-is-the-isa-i-am-trying-to-credit-currently-unable-to-accept-deposits.html.md,https://www.natwest.com/support-centre/bank-accounts-and-supporting-information/general/why-is-the-isa-i-am-trying-to-credit-currently-unable-to-accept-deposits.html,6973,384,142,6076424f6f8d3fc8c05b4b86eee92010,4,support-centre
page_12_https_www.natwest.com_business_insights_finances_cash-flow.html.md,natwest_markdown_cleaning/page_12_https_www.natwest.com_business_insights_finances_cash-flow.html.md,https://www.natwest.com/business/insights/finances/cash-flow.html,2219,113,41,9e3ab53af12fcb4bafb8b9e0ec9ac937,4,business
page_9_https_www.natwest.com_business_insights_economics_economic-outlook_purchasing-managers-index-reports_pmi-report-for-september-2023.html.md,natwest_markdown_cleaning/page_9_https_www.natwest.com_business_insights_economics_economic-outlook_purchasing-managers-index-reports_pmi-report-for-september-2023.html.md,https://www.natwest.com/business/insights/economics/economic-outlook/purchasing-managers-index-reports/pmi-report-for-september-2023.html,10218,833,120,5c0ff8ee5a352ddba5fc50e7a6ce3581,6,business
page_2_https_www.natwest.com_support-centre_general-banking-information_general_what-is-the-current-valuation-of-my-investment.html.md,natwest_markdown_cleaning/page_2_https_www.natwest.com_support-centre_general-banking-information_general_what-is-the-current-valuation-of-my-investment.html.md,https://www.natwest.com/support-centre/general-banking-information/general/what-is-the-current-valuation-of-my-investment.html,6256,301,140,67050a19bfabeebcafe7c1dba2e18e25,4,support-centre
page_13_https_www.natwest.com_mortgages_remortgage-to-natwest_remortgage-guide.html.md,natwest_markdown_cleaning/page_13_https_www.natwest.com_mortgages_remortgage-to-natwest_remortgage-guide.html.md,https://www.natwest.com/mortgages/remortgage-to-natwest/remortgage-guide.html,16859,2025,247,cd983e236cc61eccd8da6e22f8246725,3,mortgages
page_13_https_www.natwest.com_business_insights_sector-trends_professional-services-and-business-services_the-professionals-guide-to-sustainability-and-esg.html.md,natwest_markdown_cleaning/page_13_https_www.natwest.com_business_insights_sector-trends_professional-services-and-business-services_the-professionals-guide-to-sustainability-and-esg.html.md,https://www.natwest.com/business/insights/sector-trends/professional-services-and-business-services/the-professionals-guide-to-sustainability-and-esg.html,13104,1546,119,63ebf3a50d9b187512f02291b9921259,5,business
page_8_https_www.natwest.com_mortgages_news-and-articles_financial-fitness-for-home-owners.html.md,natwest_markdown_cleaning/page_8_https_www.natwest.com_mortgages_news-and-articles_financial-fitness-for-home-owners.html.md,https://www.natwest.com/mortgages/news-and-articles/financial-fitness-for-home-owners.html,6548,1121,56,e96c59bffe08be939022727ac32dd7dc,3,mortgages
page_23_https_www.natwest.com_support-centre_general-banking-information_general_what-is-a-charge-card.html.md,natwest_markdown_cleaning/page_23_https_www.natwest.com_support-centre_general-banking-information_general_what-is-a-charge-card.html.md,https://www.natwest.com/support-centre/general-banking-information/general/what-is-a-charge-card.html,7240,432,148,2b81f41f2a1c99d66f9eb944e1127ed0,4,support-centre
page_10_https_www.natwest.com_corporates_insights_markets_fx-outlook_fx-outlook-parkys-quick-take-7-february-2023.html.md,natwest_markdown_cleaning/page_10_https_www.natwest.com_corporates_insights_markets_fx-outlook_fx-outlook-parkys-quick-take-7-february-2023.html.md,https://www.natwest.com/corporates/insights/markets/fx-outlook/fx-outlook-parkys-quick-take-7-february-2023.html,7467,915,93,3461ac89c10fd7992c905c5af350a8ac,5,corporates
